inci_name,cir_or_other_finding,report_url,confidence,notes
Ascorbyl Glucoside,"Own dedicated CIR report (separate from the general Ascorbic Acid/Ascorbates family report): CIR Expert Panel concluded Ascorbyl Glucoside and Sodium Ascorbyl Glucoside are safe as used in cosmetics -- non-irritating, non-photosensitizing, non-genotoxic, non-carcinogenic.",https://www.cir-safety.org/panelbook/safety-assessment-ascorbyl-glucoside-and-sodium-ascorbyl-glucoside-used-cosmetics-0,high,"Distinct report (2020 draft / 2024-2025 final, published in Int'l J Toxicology 2025) from the Vitamin C family row in cir_evidence.csv. Max reported use ~5% face/neck, 2% around eyes."
Sodium Ascorbyl Phosphate,"Covered under broader report: named specifically (not just via family) in CIR's joint 'Ascorbic Acid and Ascorbates' final report, which concludes L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate are all safe as used.",https://www.cir-safety.org/sites/default/files/Ascorbic%20Acid.pdf,high,"Same report already cited in cir_evidence.csv row 'Ascorbic Acid (Vitamin C)'. SAP is individually named in the panel's conclusion, so this is a real specific finding, just filed under a joint report rather than its own document."
Magnesium Ascorbyl Phosphate,"Covered under broader report: named specifically in the same joint 'Ascorbic Acid and Ascorbates' CIR final report as safe as used.",https://www.cir-safety.org/sites/default/files/Ascorbic%20Acid.pdf,high,"Same joint report as Sodium Ascorbyl Phosphate above and the existing Ascorbic Acid row. MAP is individually named in the conclusion."
Retinyl Palmitate,"Own dedicated CIR report (separate document from the generic 'Retinoids' family placeholder used for the Retinol row): 'Safety Assessment of Retinol and Retinyl Palmitate as Used in Cosmetics' -- concluded safe as used (1987 original, reaffirmed 2005); re-review later reopened for photocarcinogenicity/photogenotoxicity data (same reopening noted on the Retinol row).",https://www.cir-safety.org/panelbook/safety-assessment-retinol-and-retinyl-palmitate-used-cosmetics,high,"Jointly assessed with Retinol only (not Retinaldehyde or Retinoic Acid). Original testing: 0.1-1% concentration, at most slightly irritating, nonsensitizing across 607 subjects."
Retinaldehyde,"NOT SEPARATELY ASSESSED -- no standalone CIR safety assessment located, and it is not part of the Retinol/Retinyl Palmitate joint report above. Fall back to CosIng function + general description.",https://pubchem.ncbi.nlm.nih.gov/compound/638034,low,"Genuine data gap, consistent with the existing ingredients_reference.csv note ('not separately confirmed in CosIng search'). Flag to the team: it's chemically more potent/reactive than retinol, so absence of a CIR conclusion is worth surfacing rather than assuming it inherits the Retinol finding."
Sodium Hyaluronate,"Covered under broader report: CIR treats Hyaluronic Acid and Sodium Hyaluronate as ONE joint safety assessment (not separate reports) -- 'Hyaluronate ingredients ... are safe in cosmetics in the present practices of use and concentration.'",https://www.cir-safety.org/sites/default/files/FR_Hyaluronates_062023.pdf,high,"Identical report/URL to the existing Hyaluronic Acid row in cir_evidence.csv -- confirmed CIR does NOT split these into separate documents. Shares the sourcing caveat (possible animal/rooster-comb origin; recommended limits on biological impurities and heavy metals)."
Ceramide NP,"Covered under broader report: named specifically (as Ceramide 3/Ceramide NP) within CIR's 'Safety Assessment of Ceramides' final report covering 23 ceramide ingredients -- concluded safe as used.",https://www.cir-safety.org/sites/default/files/cerami032015rep.pdf,high,"Same report as the existing Ceramides family entry, but Ceramide NP (aka Ceramide 3) is individually named with a specific data point: highest reported leave-on use concentration is 0.2%. No systemic toxicity studies were conducted specifically on Ceramide 3/NP per the panel's own note."
Glycolic Acid,"Covered under broader report, but named directly (not just via 'AHA family' placeholder): CIR's Alpha Hydroxy Acids report concludes 'glycolic acid and lactic acid, their common salts and simple esters, are safe for use in cosmetic products at the stated concentrations/pH.'",https://www.cir-safety.org/sites/default/files/ahas.pdf,high,"Same report/URL as the existing 'Glycolic Acid (AHA)' row in cir_evidence.csv -- this confirms the existing row already reflects a specific, individually-named finding rather than a vague family statement. Limits: leave-on <=10%, pH>=3.5; professional/salon <=30%, pH>=3.0, with sun-protection directions."
Lactic Acid,"Covered under broader report: named jointly with Glycolic Acid (by name, not just as 'AHA') in the same CIR Alpha Hydroxy Acids report -- same safe-as-used conclusion and same concentration/pH limits.",https://www.cir-safety.org/sites/default/files/ahas.pdf,high,"Identical report to Glycolic Acid above. Team should treat Glycolic Acid and Lactic Acid as sharing one CIR document with matching concentration/pH rules, not two separate assessments."
Mandelic Acid,"NOT SEPARATELY ASSESSED -- the CIR Alpha Hydroxy Acids report (same document covering Glycolic and Lactic Acid) does NOT name mandelic acid in its conclusion. No dedicated CIR or SCCS/SCCNFP assessment for mandelic acid specifically was found. Fall back to CosIng function ('Skin conditioning - exfoliant, reported').",https://www.cir-safety.org/sites/default/files/ahas.pdf,low,"Real data gap, not a citation error -- glycolic/lactic acid are individually named in this report, mandelic acid is not. Only the generic AHA-class caution applies (UV sensitivity increase; pH matters more than % for irritation). No ingredient-specific concentration ceiling exists in any regulatory review; market products range widely (5-50%). Worth flagging to the team as higher-uncertainty vs. glycolic/lactic."
